OrderID,OrderDate,Product,Category,Quantity,UnitPrice,City
1001,2026-09-27,Headphones,Electronics,1,2200,Lucknow
1002,2026-04-09,Water Bottle,Accessories,5,250,Mumbai
1003,2026-10-05,Headphones,Electronics,5,2200,Pune
1004,2026-10-13,Monitor,Electronics,3,12000,Bengaluru
1005,2026-04-21,Office Chair,Furniture,5,6500,Pune
1006,2026-07-09,Notebook Pack,Stationery,5,120,Hyderabad
1007,2026-01-08,Headphones,Electronics,5,2200,Pune
1008,2026-11-04,Office Chair,Furniture,1,6500,Pune
1009,2026-07-18,Mouse,Electronics,3,800,Delhi
1010,2026-02-22,Smartphone,Electronics,2,30000,Jaipur
1011,2026-03-23,Notebook Pack,Stationery,3,120,Lucknow
1012,2026-06-19,Keyboard,Electronics,3,1500,Chennai
1013,2026-05-03,Headphones,Electronics,3,2200,Kolkata
1014,2026-02-13,Monitor,Electronics,2,12000,Pune
1015,2026-09-19,Laptop,Electronics,3,55000,Delhi
1016,2026-01-12,Headphones,Electronics,3,2200,Chennai
1017,2026-06-02,Office Chair,Furniture,3,6500,Bengaluru
1018,2026-07-23,Laptop,Electronics,1,55000,Pune
1019,2026-05-09,Desk Lamp,Furniture,1,1800,Chennai
1020,2026-06-04,Laptop,Electronics,3,55000,Jaipur
1021,2026-10-25,Headphones,Electronics,4,2200,Ahmedabad
1022,2026-02-23,Mouse,Electronics,1,800,Chennai
1023,2026-04-07,Notebook Pack,Stationery,5,120,Kolkata
1024,2026-04-25,Notebook Pack,Stationery,5,120,Mumbai
1025,2026-07-17,Monitor,Electronics,3,12000,Lucknow
1026,2026-02-26,Headphones,Electronics,4,2200,Delhi
1027,2026-08-08,Headphones,Electronics,1,2200,Chennai
1028,2026-02-17,Mouse,Electronics,4,800,Ahmedabad
1029,2026-02-11,Monitor,Electronics,4,12000,Chennai
1030,2026-02-09,Mouse,Electronics,4,800,Chennai
1031,2026-09-20,Headphones,Electronics,1,2200,Lucknow
1032,2026-11-16,Water Bottle,Accessories,3,250,Ahmedabad
1033,2026-07-12,Laptop,Electronics,2,55000,Kolkata
1034,2026-02-06,Desk Lamp,Furniture,2,1800,Bengaluru
1035,2026-12-16,Notebook Pack,Stationery,2,120,Mumbai
1036,2026-08-15,Monitor,Electronics,3,12000,Bengaluru
1037,2026-06-19,Keyboard,Electronics,1,1500,Chennai
1038,2026-11-02,Water Bottle,Accessories,1,250,Delhi
1039,2026-09-03,Smartphone,Electronics,3,30000,Hyderabad
1040,2026-01-14,Office Chair,Furniture,1,6500,Delhi
1041,2026-05-10,Water Bottle,Accessories,2,250,Mumbai
1042,2026-11-15,Smartphone,Electronics,2,30000,Lucknow
1043,2026-09-08,Headphones,Electronics,2,2200,Kolkata
1044,2026-09-09,Notebook Pack,Stationery,2,120,Pune
1045,2026-07-28,Notebook Pack,Stationery,4,120,Ahmedabad
1046,2026-08-14,Monitor,Electronics,1,12000,Lucknow
1047,2026-04-14,Notebook Pack,Stationery,1,120,Bengaluru
1048,2026-12-27,Monitor,Electronics,3,12000,Kolkata
1049,2026-09-04,Keyboard,Electronics,2,1500,Kolkata
1050,2026-09-18,Mouse,Electronics,4,800,Bengaluru
1051,2026-12-04,Water Bottle,Accessories,5,250,Jaipur
1052,2026-01-02,Office Chair,Furniture,4,6500,Lucknow
1053,2026-07-02,Laptop,Electronics,4,55000,Pune
1054,2026-05-01,Office Chair,Furniture,3,6500,Jaipur
1055,2026-09-16,Laptop,Electronics,2,55000,Pune
1056,2026-05-15,Desk Lamp,Furniture,4,1800,Mumbai
1057,2026-06-25,Keyboard,Electronics,3,1500,Lucknow
1058,2026-04-28,Water Bottle,Accessories,1,250,Pune
1059,2026-10-01,Monitor,Electronics,3,12000,Delhi
1060,2026-08-02,Smartphone,Electronics,3,30000,Ahmedabad
1061,2026-04-06,Keyboard,Electronics,4,1500,Kolkata
1062,2026-09-09,Laptop,Electronics,2,55000,Bengaluru
1063,2026-07-09,Keyboard,Electronics,1,1500,Chennai
1064,2026-10-05,Mouse,Electronics,2,800,Lucknow
1065,2026-03-07,Desk Lamp,Furniture,5,1800,Kolkata
1066,2026-05-26,Headphones,Electronics,4,2200,Delhi
1067,2026-10-18,Desk Lamp,Furniture,5,1800,Chennai
1068,2026-03-10,Headphones,Electronics,5,2200,Kolkata
1069,2026-03-26,Water Bottle,Accessories,3,250,Ahmedabad
1070,2026-11-19,Office Chair,Furniture,1,6500,Mumbai
1071,2026-07-05,Mouse,Electronics,4,800,Chennai
1072,2026-04-11,Desk Lamp,Furniture,3,1800,Delhi
1073,2026-02-11,Mouse,Electronics,4,800,Ahmedabad
1074,2026-09-11,Smartphone,Electronics,4,30000,Jaipur
1075,2026-01-25,Headphones,Electronics,5,2200,Lucknow
1076,2026-05-26,Monitor,Electronics,4,12000,Delhi
1077,2026-10-18,Notebook Pack,Stationery,2,120,Kolkata
1078,2026-04-05,Monitor,Electronics,5,12000,Kolkata
1079,2026-04-16,Desk Lamp,Furniture,2,1800,Ahmedabad
1080,2026-09-06,Keyboard,Electronics,1,1500,Ahmedabad
1081,2026-02-13,Smartphone,Electronics,5,30000,Jaipur
1082,2026-03-08,Laptop,Electronics,2,55000,Hyderabad
1083,2026-04-18,Monitor,Electronics,3,12000,Ahmedabad
1084,2026-07-08,Monitor,Electronics,2,12000,Hyderabad
1085,2026-05-28,Office Chair,Furniture,3,6500,Ahmedabad
1086,2026-03-11,Keyboard,Electronics,4,1500,Ahmedabad
1087,2026-03-17,Office Chair,Furniture,1,6500,Delhi
1088,2026-03-11,Keyboard,Electronics,4,1500,Lucknow
1089,2026-06-21,Office Chair,Furniture,4,6500,Pune
1090,2026-12-12,Mouse,Electronics,2,800,Ahmedabad
1091,2026-09-23,Water Bottle,Accessories,3,250,Jaipur
1092,2026-11-01,Desk Lamp,Furniture,2,1800,Bengaluru
1093,2026-04-12,Monitor,Electronics,4,12000,Mumbai
1094,2026-12-04,Desk Lamp,Furniture,5,1800,Jaipur
1095,2026-05-03,Mouse,Electronics,2,800,Chennai
1096,2026-05-19,Keyboard,Electronics,2,1500,Jaipur
1097,2026-06-08,Monitor,Electronics,2,12000,Pune
1098,2026-03-07,Monitor,Electronics,5,12000,Chennai
1099,2026-07-26,Water Bottle,Accessories,3,250,Bengaluru
1100,2026-10-26,Smartphone,Electronics,1,30000,Hyderabad
